Location,Timetag,Hourly Surface solar radiation downwards (J/m2),Temperature factor
home,2020-05-19 15:00:00,529624.0,0.9974699
home,2020-05-19 16:00:00,540460.0,0.99569476
home,2020-05-19 17:00:00,228336.0,0.9926019
home,2020-05-19 18:00:00,194388.0,0.9857813
home,2020-05-19 19:00:00,10364.0,0.9783611
home,2020-05-19 20:00:00,0.0,0.9639907
home,2020-05-19 21:00:00,0.0,0.9524028
home,2020-05-19 22:00:00,0.0,0.94007313
home,2020-05-19 23:00:00,0.0,0.9254726
home,2020-05-20 00:00:00,0.0,0.91366726
home,2020-05-20 01:00:00,0.0,0.9014106
home,2020-05-20 02:00:00,0.0,0.8927125
home,2020-05-20 03:00:00,9261.0,0.8853325
home,2020-05-20 04:00:00,201047.0,0.8800109
home,2020-05-20 05:00:00,540956.0,0.88804495
home,2020-05-20 06:00:00,1144660.0,0.9099482
home,2020-05-20 07:00:00,1471744.0,0.95227826
home,2020-05-20 08:00:00,1149460.0,0.96777785
home,2020-05-20 09:00:00,1222084.0,0.97491497
home,2020-05-20 10:00:00,1164618.0,0.98189056
home,2020-05-20 11:00:00,1101814.0,0.9861007
home,2020-05-20 12:00:00,1059616.0,0.98908734
home,2020-05-20 13:00:00,1004056.0,0.9910808
home,2020-05-20 14:00:00,1070792.0,0.9923785
home,2020-05-20 15:00:00,973788.0,0.99381906
home,2020-05-20 16:00:00,713016.0,0.99426556
home,2020-05-20 17:00:00,468944.0,0.9935906
home,2020-05-20 18:00:00,238536.0,0.9913424
home,2020-05-20 19:00:00,14636.0,0.98360324
home,2020-05-20 20:00:00,0.0,0.97171384
home,2020-05-20 21:00:00,0.0,0.9551588
home,2020-05-20 22:00:00,0.0,0.9382056
home,2020-05-20 23:00:00,0.0,0.92278945
home,2020-05-21 00:00:00,0.0,0.9113804
home,2020-05-21 01:00:00,0.0,0.9022482
home,2020-05-21 02:00:00,0.0,0.894107
home,2020-05-21 03:00:00,11004.0,0.8863011
home,2020-05-21 04:00:00,239807.0,0.8801887
home,2020-05-21 05:00:00,684673.0,0.8951191
home,2020-05-21 06:00:00,1233348.0,0.9455001
home,2020-05-21 07:00:00,1776072.0,0.9704668
home,2020-05-21 08:00:00,2281232.0,0.98785967
home,2020-05-21 09:00:00,2657324.0,0.99529654
home,2020-05-21 10:00:00,2871824.0,0.9978739
home,2020-05-21 11:00:00,2995196.0,0.9973457
home,2020-05-21 12:00:00,2894040.0,0.99464023
home,2020-05-21 13:00:00,2612556.0,0.99134755
home,2020-05-21 14:00:00,2316356.0,0.98810947
home,2020-05-21 15:00:00,1797968.0,0.98536754
home,2020-05-21 16:00:00,1256004.0,0.985175
home,2020-05-21 17:00:00,734472.0,0.98652875
home,2020-05-21 18:00:00,240576.0,0.9923049
home,2020-05-21 19:00:00,16668.0,0.99698323
home,2020-05-21 20:00:00,0.0,0.99583304
home,2020-05-21 21:00:00,0.0,0.9884505
home,2020-05-21 22:00:00,0.0,0.98242795
home,2020-05-21 23:00:00,0.0,0.9763764
home,2020-05-22 00:00:00,0.0,0.9719059
home,2020-05-22 01:00:00,0.0,0.96863186
home,2020-05-22 02:00:00,0.0,0.9667233
home,2020-05-22 03:00:00,7731.0,0.96804273
home,2020-05-22 04:00:00,97225.0,0.97061855
home,2020-05-22 05:00:00,229382.0,0.9776418
home,2020-05-22 06:00:00,398430.0,0.9846988
home,2020-05-22 07:00:00,771908.0,0.9904906
home,2020-05-22 08:00:00,617270.0,0.99719465
home,2020-05-22 09:00:00,731826.0,0.9979874
home,2020-05-22 10:00:00,1879772.0,0.99689406
home,2020-05-22 11:00:00,1769740.0,0.98691434
home,2020-05-22 12:00:00,1244284.0,0.9823867
home,2020-05-22 13:00:00,613380.0,0.9936388
home,2020-05-22 14:00:00,499816.0,0.99789363
home,2020-05-22 15:00:00,440400.0,0.9943203
home,2020-05-22 16:00:00,583752.0,0.9901587
home,2020-05-22 17:00:00,618280.0,0.99196494
home,2020-05-22 18:00:00,217620.0,0.9922335
home,2020-05-22 19:00:00,14140.0,0.9830103
home,2020-05-22 20:00:00,0.0,0.9780425
home,2020-05-22 21:00:00,0.0,0.975279
home,2020-05-22 22:00:00,0.0,0.9699081
home,2020-05-22 23:00:00,0.0,0.96195996
home,2020-05-23 00:00:00,0.0,0.9520258
home,2020-05-23 01:00:00,0.0,0.9468838
home,2020-05-23 02:00:00,0.0,0.94029903
home,2020-05-23 03:00:00,8612.0,0.9368495
home,2020-05-23 04:00:00,144286.0,0.93361956
home,2020-05-23 05:00:00,399050.0,0.93670636
home,2020-05-23 06:00:00,728512.0,0.94250774
home,2020-05-23 07:00:00,809880.0,0.9498439
home,2020-05-23 08:00:00,990804.0,0.9532709
home,2020-05-23 09:00:00,1791176.0,0.9574528
home,2020-05-23 10:00:00,2183572.0,0.9688742
home,2020-05-23 11:00:00,2543418.0,0.97756416
home,2020-05-23 12:00:00,2718586.0,0.9856615
home,2020-05-23 13:00:00,2578620.0,0.9895899
home,2020-05-23 14:00:00,2211460.0,0.98773503
home,2020-05-23 15:00:00,1722856.0,0.98583454
home,2020-05-23 16:00:00,1055104.0,0.9844541
home,2020-05-23 17:00:00,449368.0,0.97681105
home,2020-05-23 18:00:00,250012.0,0.9698515
home,2020-05-23 19:00:00,17964.0,0.9579508
home,2020-05-23 20:00:00,0.0,0.950561
home,2020-05-23 21:00:00,0.0,0.94393146
home,2020-05-23 22:00:00,0.0,0.94017184
home,2020-05-23 23:00:00,0.0,0.9332181
home,2020-05-24 00:00:00,0.0,0.92798054
home,2020-05-24 01:00:00,0.0,0.9226316
home,2020-05-24 02:00:00,0.0,0.91771257
home,2020-05-24 03:00:00,13000.0,0.913649
home,2020-05-24 04:00:00,217307.0,0.909963
home,2020-05-24 05:00:00,661829.0,0.91499174
home,2020-05-24 06:00:00,1254164.0,0.9283186
home,2020-05-24 07:00:00,1628228.0,0.9411233
home,2020-05-24 08:00:00,1306556.0,0.9556628
home,2020-05-24 09:00:00,564306.0,0.9508666
home,2020-05-24 10:00:00,421266.0,0.93690795
home,2020-05-24 11:00:00,567874.0,0.9327657
home,2020-05-24 12:00:00,963826.0,0.9397289
home,2020-05-24 13:00:00,1128232.0,0.9524549
home,2020-05-24 14:00:00,1146460.0,0.96126664
home,2020-05-24 15:00:00,1080488.0,0.96140945
home,2020-05-24 16:00:00,816964.0,0.9657959
home,2020-05-24 17:00:00,458400.0,0.96479595
home,2020-05-24 18:00:00,135120.0,0.9555954
home,2020-05-24 19:00:00,10596.0,0.94592834
home,2020-05-24 20:00:00,0.0,0.94119287
home,2020-05-24 21:00:00,0.0,0.93649805
home,2020-05-24 22:00:00,0.0,0.93218195
home,2020-05-24 23:00:00,0.0,0.9302232
home,2020-05-25 00:00:00,0.0,0.9270691
home,2020-05-25 01:00:00,0.0,0.92421204
home,2020-05-25 02:00:00,0.0,0.9243548
home,2020-05-25 03:00:00,12358.0,0.92005783
home,2020-05-25 04:00:00,225502.0,0.91753316
home,2020-05-25 05:00:00,547136.0,0.92097574
home,2020-05-25 06:00:00,867350.0,0.9361099
home,2020-05-25 07:00:00,1377170.0,0.9522811
home,2020-05-25 08:00:00,1613448.0,0.9669945
home,2020-05-25 09:00:00,1657800.0,0.9758318
home,2020-05-25 10:00:00,1328842.0,0.9819236
home,2020-05-25 11:00:00,1515336.0,0.9838394
home,2020-05-25 12:00:00,1327874.0,0.9863657
home,2020-05-25 13:00:00,1443580.0,0.9871713
home,2020-05-25 14:00:00,1092156.0,0.98830473
home,2020-05-25 15:00:00,1518444.0,0.9870796
home,2020-05-25 16:00:00,1319468.0,0.98810095
home,2020-05-25 17:00:00,772156.0,0.98603046
home,2020-05-25 18:00:00,300712.0,0.98087
home,2020-05-25 19:00:00,25932.0,0.9655603
home,2020-05-25 20:00:00,0.0,0.9492831
